complaint;category
I have been living in Deoghar for many years and there has been no clean drinking water supply in Pathalgaon for the past 25 days. Please look into this matter urgently.;Water Quality & Sanitation
Respected Sir/Madam, mosquito breeding near the stagnant water in Chandpur is causing malaria cases to rise. Waiting for your response.;Public Health
As a parent of a student in Gumla school, our school does not have enough teachers for science and maths subjects. This is affecting our studies a lot, please help.;Education
I run a shop near Silli market and the drainage near the market in Ramgarh is blocked with garbage and overflowing. Requesting you to resolve this soon.;Waste Management
Hello, the road connecting Rampur to the main highway has huge potholes and is very dangerous. Please look into this matter urgently.;Infrastructure & Roads
Sir, waste from the nearby slaughterhouse is being dumped near Netarhat without any treatment. Waiting for your response.;Waste Management
My child has been unwell and mosquito breeding near the stagnant water in Pathalgaon is causing malaria cases to rise. Requesting you to resolve this soon.;Public Health
Hello, there has been no proper storage facility in Jamshedpur and a lot of our grain gets spoiled every year. Waiting for your response.;Agriculture & Rural Development
Sir, there has been an outbreak of dengue in Dumka and the health department has not sprayed anything. Kindly take necessary action.;Public Health
Respected Sir/Madam, the garbage collection point near Bero has not been cleared in weeks and smells very bad. Waiting for your response.;Waste Management
Sir, there has been a power cut in Hazaribagh for more than 23 hours every day. Waiting for your response.;Energy & Sustainability
Our school in Netarhat the nearest school for higher secondary is very far from Manjhgaon and many students drop out because of this. Please help us as soon as possible.;Education
Dear Officer, there is no dustbin provided in the market area of Sultanpur so people throw garbage on the road. Kindly take necessary action.;Waste Management
There is no internet facility in our school which makes it hard to access online classes. Hope for quick action from your side.;Education
I run a shop near Bero market and the drainage near the market in Gumla is blocked with garbage and overflowing. Please send the garbage truck to our area regularly.;Waste Management
As a parent of a student in Sahibganj school, the computer lab in our school has been non functional for a long time. Requesting you to resolve this soon.;Education
Dear Officer, the bridge near Gumla is damaged and vehicles are struggling to cross it. Kindly install streetlights on this stretch as soon as possible.;Infrastructure & Roads
Dear Officer, the tube well provided by the government in Hazaribagh stopped working after a few months. Requesting you to resolve this soon.;Agriculture & Rural Development
Sir, the road connecting Godda to the main highway has huge potholes and is very dangerous. Please help us as soon as possible.;Infrastructure & Roads
Hello, the mid day meal quality in our school has become very poor recently. Please look into this matter urgently.;Education
To whom it may concern, open drains near Bero are overflowing and spreading a foul smell all over the street. Kindly send someone to check as soon as possible.;Water Quality & Sanitation
Respected Authority, we have not received soil testing results even after applying 26 weeks ago. Kindly send an agriculture officer to inspect our fields.;Agriculture & Rural Development
Respected Authority, the health worker has not visited our village for vaccination in over 38 weeks. Kindly arrange for medicines and a health camp in our area.;Public Health
We residents of Ranchi want to inform you that power supply in Dumka keeps going off every time it rains. Please send an electrician to check the meter and wiring.;Energy & Sustainability
We residents of Netarhat want to inform you that our village still does not have a proper electricity connection even after being promised one. Kindly send someone to check as soon as possible.;Energy & Sustainability
Hello, the computer lab in our school has been non functional for a long time. Kindly send someone to check as soon as possible.;Education
The boundary wall of the community park in Bishnupur is broken and children can wander onto the main road. Kindly take necessary action.;Safety & Public Welfare
Every morning in Ranchi the garbage collection point near Gumla has not been cleared in weeks and smells very bad. Kindly clear the waste before it becomes a health hazard.;Waste Management
I am a resident of Madhopur and the public toilet near Deoghar has no water connection and cannot be used. Hope for quick action from your side.;Water Quality & Sanitation
Respected Sir/Madam, there is no proper lighting on the Chatra street and women feel scared to walk alone at night. Requesting you to resolve this soon.;Safety & Public Welfare
Every day in Gumla the electricity meter installed at our house is showing wrong readings. Kindly send someone to check as soon as possible.;Energy & Sustainability
Solar street lights installed in Khunti stopped working within a few months. Please look into this matter urgently.;Energy & Sustainability
The water supplied through the tanker in Palamu is not treated and looks dirty. Kindly take necessary action.;Water Quality & Sanitation
The railway crossing near Lakhanpur has no gate and it is very dangerous for pedestrians. Waiting for your response.;Safety & Public Welfare
There is no proper sewage system in Chatra and waste water collects on the road every day. We have been complaining about this for a long time now.;Water Quality & Sanitation
To whom it may concern, the road was dug up for pipeline work 16 months ago and still has not been repaired. Waiting for your response.;Infrastructure & Roads
The stone crushing unit near Jamshedpur covers our entire area in dust every afternoon. Kindly take necessary action.;Air & Environmental Pollution
There is only one teacher for the entire primary school in Jamtara. This needs to be fixed immediately.;Education
Sir ji, the government hospital in Jamtara is always out of even basic medicines. Hope for quick action from your side.;Public Health
Hello, the factory near Koderma releases thick black smoke every day and it is hard to breathe. Kindly send someone to check as soon as possible.;Air & Environmental Pollution
I am a resident of Hazaribagh and the railway crossing near Tamar has no gate and it is very dangerous for pedestrians. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
Namaste sir, main ek kisan hoon from Dumka village and we have not received soil testing results even after applying 29 weeks ago.;Agriculture & Rural Development
As a parent of a student in Godda school, we have not received our textbooks even though the session started 40 months ago.;Education
Respected Authority, we have not received our textbooks even though the session started 26 months ago. Please send more teachers to our school soon.;Education
I have been farming in Pathalgaon for many years and the irrigation canal near Silli has been dry for the entire season and our crops are dying. Kindly send an agriculture officer to inspect our fields.;Agriculture & Rural Development
Respected Authority, the garbage collection point near Torpa has not been cleared in weeks and smells very bad. Please look into this matter urgently.;Waste Management
As a parent of a student in Karra school, our school does not have enough teachers for science and maths subjects. Please look into this matter urgently.;Education
Hello, vehicles passing through Devgarh road release thick black smoke and no pollution check ever happens. Kindly take necessary action.;Air & Environmental Pollution
To whom it may concern, solar street lights installed in Chandpur stopped working within a few months. Please look into this matter urgently.;Energy & Sustainability
Dear Officer, the seeds supplied by the agriculture department this season did not germinate properly. Waiting for your response.;Agriculture & Rural Development
I am a resident of Dumka and the playground equipment in Chaibasa is broken and rusted, it is not safe for children anymore. Requesting you to resolve this soon.;Safety & Public Welfare
Hello, the culvert near Giridih has collapsed and villagers have to take a long detour now. Kindly send someone to check as soon as possible.;Infrastructure & Roads
Hello, the hand pump in our village has been broken for 41 days and we have to walk far to fetch water. Kindly repair the pipeline before more people fall sick.;Water Quality & Sanitation
Hello, the crop insurance claim for last season has still not been paid to farmers in Ramgarh. Please look into this matter urgently.;Agriculture & Rural Development
As a resident of Godda I want to inform you that the nearest hospital from Madhopur is very far and there is no transport during emergencies. Please look into this matter urgently.;Public Health
I have been living in Tamar for many years and the tap water in our area has turned yellow and smells very bad.;Water Quality & Sanitation
Sir ji, during the rainy season the road near Chandpur gets completely waterlogged and unusable. Requesting you to resolve this soon.;Infrastructure & Roads
Sir, we have not received the promised fertilizer subsidy this year. Please help us as soon as possible.;Agriculture & Rural Development
As a parent of a student in Pakur school, the computer lab in our school has been non functional for a long time. This is affecting our studies a lot, please help.;Education
Dear Officer, stagnant water has collected near the sanitation tank in Bishnupur for weeks now. Please send someone to test the water quality soon.;Water Quality & Sanitation
As a woman living in Nagla Basti, there have been several incidents of chain snatching near Rampur market recently. Requesting you to resolve this soon.;Safety & Public Welfare
Respected Sir/Madam, there is only one teacher for the entire primary school in Dhanbad. This needs to be fixed immediately.;Education
To whom it may concern, there is no streetlight near the girls hostel in Tamar and it feels unsafe to walk at night. Kindly take necessary action.;Safety & Public Welfare
We residents of Dhanbad colony want to bring to your notice that the air quality in Lakhanpur has become very bad and my family keeps coughing. This needs to be fixed immediately.;Air & Environmental Pollution
Respected Authority, smoke from the nearby thermal plant has made it difficult to breathe in Bundu lately. Waiting for your response.;Air & Environmental Pollution
To whom it may concern, the hand pump in our village has been broken for 45 days and we have to walk far to fetch water. We are worried about the health of our children because of this water.;Water Quality & Sanitation
Respected Authority, the railway crossing near Dhanbad has no gate and it is very dangerous for pedestrians. Please increase police patrolling in our area.;Safety & Public Welfare
Respected Authority, there have been several incidents of chain snatching near Koderma market recently. Kindly take necessary action.;Safety & Public Welfare
Dear Officer, there has been no streetlight on the road near Bishnupur for over 37 months. Please help us as soon as possible.;Infrastructure & Roads
Every day in Bokaro the electricity bill this month is unusually high even though our usage has not increased. Requesting you to resolve this soon.;Energy & Sustainability
Respected Sir/Madam, there has been no clean drinking water supply in Pathalgaon for the past 42 days. Please send someone to test the water quality soon.;Water Quality & Sanitation
Every day in Bokaro the electricity bill this month is unusually high even though our usage has not increased. Kindly send someone to check as soon as possible.;Energy & Sustainability
Sir, there has been a power cut in Chaibasa for more than 38 hours every day. Kindly restore the power supply as soon as possible.;Energy & Sustainability
Dear Officer, mosquito breeding near the stagnant water in Gumla is causing malaria cases to rise. Requesting you to resolve this soon.;Public Health
I stay near the industrial area of Palamu and the brick kiln near our village releases smoke all day and our crops are getting affected. This needs to be fixed immediately.;Air & Environmental Pollution
Respected Authority, there have been several incidents of chain snatching near Netarhat market recently. Kindly take necessary action.;Safety & Public Welfare
I run a small shop in Bokaro and the transformer near Barhi keeps tripping and causing frequent power fluctuations. This is affecting our daily work a lot.;Energy & Sustainability
As a parent of a student in Manjhgaon school, the mid day meal quality in our school has become very poor recently. Kindly arrange for the missing textbooks before our exams.;Education
Hello, the new transformer promised for Bokaro has still not been installed. This is affecting our daily work a lot.;Energy & Sustainability
Sir, the air quality in Jamshedpur has become very bad and my family keeps coughing. Waiting for your response.;Air & Environmental Pollution
Being a parent in Bishnupur, there is no police patrol at night in the Tamar area and residents feel unsafe. This needs to be fixed immediately.;Safety & Public Welfare
Voltage fluctuation in Lakhanpur has damaged several household appliances recently. Kindly restore the power supply as soon as possible.;Energy & Sustainability
We residents of Jamshedpur want to inform you that the new transformer promised for Kishanpur has still not been installed. This needs to be fixed immediately.;Energy & Sustainability
Hello, plastic waste is being burnt openly near Ramgarh every evening. Waiting for your response.;Waste Management
To whom it may concern, there is a strong chemical smell coming from the industrial area near Lakhanpur every night. Waiting for your response.;Air & Environmental Pollution
Sir ji, the irrigation canal near Rampur has been dry for the entire season and our crops are dying. Please look into this matter urgently.;Agriculture & Rural Development
We the residents of Godda colony want to inform you that the railway crossing near Bokaro has no gate and it is very dangerous for pedestrians. Requesting you to resolve this soon.;Safety & Public Welfare
Sir, mosquito breeding near the stagnant water in Lakhanpur is causing malaria cases to rise. Waiting for your response.;Public Health
To whom it may concern, dust from the nearby construction site is covering our houses and it is difficult to keep windows open. Kindly inspect the pollution levels in our area.;Air & Environmental Pollution
Hello, the tube well provided by the government in Latehar stopped working after a few months. Waiting for your response.;Agriculture & Rural Development
Every morning in Bishnupur waste from the nearby slaughterhouse is being dumped near Dhanbad without any treatment. Kindly take necessary action.;Waste Management
Every day while going to work through Dumka the road was dug up for pipeline work 11 months ago and still has not been repaired. Please help us as soon as possible.;Infrastructure & Roads
The mid day meal quality in our school has become very poor recently. Kindly arrange for the missing textbooks before our exams.;Education
Respected Sir/Madam, the water supplied through the tanker in Latehar is not treated and looks dirty. Please help us as soon as possible.;Water Quality & Sanitation
Sir, the road connecting Pakur to the main highway has huge potholes and is very dangerous. Please repair this road before someone gets seriously hurt.;Infrastructure & Roads
The hand pump in our village has been broken for 7 days and we have to walk far to fetch water.;Water Quality & Sanitation
Sir ji, the garbage collection point near Barhi has not been cleared in weeks and smells very bad. Waiting for your response.;Waste Management
The road connecting Shivpuri to the main highway has huge potholes and is very dangerous. Please help us as soon as possible.;Infrastructure & Roads
We the residents of Palamu colony want to inform you that the railway crossing near Bundu has no gate and it is very dangerous for pedestrians. Hope for quick action from your side.;Safety & Public Welfare
Every evening in Dumka we cannot sit outside in the evening because of smoke from the nearby factory chimney. Our children are developing breathing problems because of this smoke.;Air & Environmental Pollution
As a woman living in Koderma, there is no streetlight near the girls hostel in Gumla and it feels unsafe to walk at night.;Safety & Public Welfare
I run a shop near Torpa market and the garbage collection point near Lakhanpur has not been cleared in weeks and smells very bad. Kindly clear the waste before it becomes a health hazard.;Waste Management
Sir, the drainage near the market in Netarhat is blocked with garbage and overflowing. The smell has become unbearable for the residents.;Waste Management
Dear Officer, there has been no streetlight on the road near Torpa for over 30 months. Please repair this road before someone gets seriously hurt.;Infrastructure & Roads
Hello, garbage has not been collected from our street in Ramgarh for over a week. This needs to be fixed immediately.;Waste Management
I run a small shop in Hazaribagh and our village still does not have a proper electricity connection even after being promised one. Kindly send someone to check as soon as possible.;Energy & Sustainability
Respected Authority, there is no proper sanitation in the hospital ward and patients are getting infections. We have been complaining about this for a long time now.;Public Health
Hello, stagnant water has collected near the sanitation tank in Gumla for weeks now. We are worried about the health of our children because of this water.;Water Quality & Sanitation
Sir, the health worker has not visited our village for vaccination in over 6 weeks. Please send a doctor to our health centre soon.;Public Health
To whom it may concern, there has been a power cut in Godda for more than 25 hours every day. Please help us as soon as possible.;Energy & Sustainability
I am a student studying in Giridih and there are no proper toilets for girls in our school and many students skip classes because of this. Please look into this matter urgently.;Education
Sir, the loan waiver promised to farmers in Deoghar has still not been processed. Kindly take necessary action.;Agriculture & Rural Development
Sir, voltage fluctuation in Torpa has damaged several household appliances recently. Kindly send someone to check as soon as possible.;Energy & Sustainability
Respected Sir/Madam, the air quality in Shivpuri has become very bad and my family keeps coughing. Our children are developing breathing problems because of this smoke.;Air & Environmental Pollution
To whom it may concern, the primary health centre in Jamtara has no doctor available most days. Please look into this matter urgently.;Public Health
Hello, there has been an outbreak of dengue in Lakhanpur and the health department has not sprayed anything. We have been complaining about this for a long time now.;Public Health
Sir ji, the boundary wall of the community park in Chaibasa is broken and children can wander onto the main road. Please look into this matter urgently.;Safety & Public Welfare
Respected Authority, the factory near Deoghar releases thick black smoke every day and it is hard to breathe. This needs to be fixed immediately.;Air & Environmental Pollution
Sir, the factory near Torpa releases thick black smoke every day and it is hard to breathe. Kindly send someone to check as soon as possible.;Air & Environmental Pollution
Every day while going to work through Giridih during the rainy season the road near Sahibganj gets completely waterlogged and unusable. Requesting you to resolve this soon.;Infrastructure & Roads
I am a resident of Bero and the water supplied through the tanker in Karra is not treated and looks dirty. Please look into this matter urgently.;Water Quality & Sanitation
We the commuters of Bishnupur road want to inform you that during the rainy season the road near Rampur gets completely waterlogged and unusable. We have been complaining about this for a long time now.;Infrastructure & Roads
Sir ji, there is no proper lighting on the Bishnupur street and women feel scared to walk alone at night.;Safety & Public Welfare
Sir ji, the playground equipment in Kishanpur is broken and rusted, it is not safe for children anymore. Kindly repair the streetlights for the safety of women and children.;Safety & Public Welfare
My child has been unwell and mosquito breeding near the stagnant water in Shivpuri is causing malaria cases to rise. Kindly send someone to check as soon as possible.;Public Health
Hello, sewage water is mixing with the drinking water pipeline in Kishanpur. Please look into this matter urgently.;Water Quality & Sanitation
Dear Officer, waste from the nearby slaughterhouse is being dumped near Pakur without any treatment. Kindly clear the waste before it becomes a health hazard.;Waste Management
Dear Officer, the municipal waste truck skips our area most days. We have been complaining about this for a long time now.;Waste Management
Sir, the coal transport trucks passing through Koderma spread black dust all over our houses. Kindly take necessary action.;Air & Environmental Pollution
Respected Authority, the old age home in Khunti does not have enough staff to take care of the residents. Waiting for your response.;Safety & Public Welfare
Sir ji, waste from the nearby slaughterhouse is being dumped near Chaibasa without any treatment. Please send the garbage truck to our area regularly.;Waste Management
I run a small shop in Bero and our village still does not have a proper electricity connection even after being promised one. Kindly take necessary action.;Energy & Sustainability
Sir, the footpath near Chatra has been broken for a long time and it is difficult for elderly people to walk. Requesting you to resolve this soon.;Infrastructure & Roads
As a woman living in Bokaro, the railway crossing near Nagla Basti has no gate and it is very dangerous for pedestrians. Please help us as soon as possible.;Safety & Public Welfare
Respected Sir/Madam, the seeds supplied by the agriculture department this season did not germinate properly. Please help us as soon as possible.;Agriculture & Rural Development
Sir ji, the water supplied through the tanker in Chaibasa is not treated and looks dirty. Hope for quick action from your side.;Water Quality & Sanitation
Dear Officer, there is only one teacher for the entire primary school in Pathalgaon. Please send more teachers to our school soon.;Education
Respected Sir/Madam, vehicles passing through Nagla Basti road release thick black smoke and no pollution check ever happens. Please ask the factory to install proper pollution control equipment.;Air & Environmental Pollution
Hello, the transformer near Karra keeps tripping and causing frequent power fluctuations. Waiting for your response.;Energy & Sustainability
Respected Sir/Madam, the air quality in Khunti has become very bad and my family keeps coughing. Please help us as soon as possible.;Air & Environmental Pollution
Sir, our children have been falling sick after drinking the water supplied in Manjhgaon. Kindly send someone to check as soon as possible.;Water Quality & Sanitation
Sir, there is no police patrol at night in the Ranchi area and residents feel unsafe. Kindly send someone to check as soon as possible.;Safety & Public Welfare
Respected Authority, the tube well provided by the government in Bero stopped working after a few months. Please help us kisano ko, we are very troubled by this.;Agriculture & Rural Development
I run a small shop in Chatra and the transformer near Barhi keeps tripping and causing frequent power fluctuations. Hope for quick action from your side.;Energy & Sustainability
We residents of Giridih want to inform you that the new transformer promised for Devgarh has still not been installed.;Energy & Sustainability
To whom it may concern, the railway crossing near Jamshedpur has no gate and it is very dangerous for pedestrians. Please help us as soon as possible.;Safety & Public Welfare
I am a student studying in Sultanpur and there is no internet facility in our school which makes it hard to access online classes.;Education
Hello, the boundary wall of the community park in Koderma is broken and children can wander onto the main road. Kindly send someone to check as soon as possible.;Safety & Public Welfare
Dear Officer, many people in Tamar have fallen sick with diarrhea after the recent floods. Waiting for your response.;Public Health
Respected Authority, our school does not have enough teachers for science and maths subjects. Hope for quick action from your side.;Education
Dear Officer, there is no proper lighting on the Gumla street and women feel scared to walk alone at night. Hope for quick action from your side.;Safety & Public Welfare
Dear Officer, waste from the nearby slaughterhouse is being dumped near Nagla Basti without any treatment. Hope for quick action from your side.;Waste Management
I travel through Gumla daily and the culvert near Dhanbad has collapsed and villagers have to take a long detour now. Hope for quick action from your side.;Infrastructure & Roads
I stay near the industrial area of Pakur and the air quality in Chandpur has become very bad and my family keeps coughing. Our children are developing breathing problems because of this smoke.;Air & Environmental Pollution
Respected Authority, we have not received soil testing results even after applying 30 weeks ago. Kindly send an agriculture officer to inspect our fields.;Agriculture & Rural Development
To whom it may concern, voltage fluctuation in Dumka has damaged several household appliances recently. We have been complaining about this for a long time now.;Energy & Sustainability
Respected Sir/Madam, plastic waste is being burnt openly near Tamar every evening. We have been complaining about this for a long time now.;Waste Management
Every evening in Manjhgaon the stone crushing unit near Bero covers our entire area in dust every afternoon. Our children are developing breathing problems because of this smoke.;Air & Environmental Pollution
Being a parent in Jamtara, the old age home in Nagla Basti does not have enough staff to take care of the residents.;Safety & Public Welfare
Sir ji, voltage fluctuation in Latehar has damaged several household appliances recently. Please help us as soon as possible.;Energy & Sustainability
Dear Officer, factory waste is being dumped into the river near Palamu which we use for drinking water. This needs to be fixed immediately.;Water Quality & Sanitation
Hello, the nearest school for higher secondary is very far from Godda and many students drop out because of this. We have been complaining about this for a long time now.;Education
Sir ji, there has been no clean drinking water supply in Lakhanpur for the past 43 days. Kindly send someone to check as soon as possible.;Water Quality & Sanitation
Sir, the health worker has not visited our village for vaccination in over 35 weeks. This needs to be fixed immediately.;Public Health
Respected Authority, there has been a power cut in Dhanbad for more than 25 hours every day. Requesting you to resolve this soon.;Energy & Sustainability
Respected Authority, there is no proper lighting on the Palamu street and women feel scared to walk alone at night. Please look into this matter urgently.;Safety & Public Welfare
The nearest hospital from Jamtara is very far and there is no transport during emergencies. Please help us as soon as possible.;Public Health
I have been living in Chatra for many years and sewage water is mixing with the drinking water pipeline in Kishanpur. We have been complaining about this for a long time now.;Water Quality & Sanitation
Sir ji, the mid day meal quality in our school has become very poor recently. Waiting for your response.;Education
The factory near Torpa releases thick black smoke every day and it is hard to breathe. Please ask the factory to install proper pollution control equipment.;Air & Environmental Pollution
Respected Authority, the footpath near Dhanbad has been broken for a long time and it is difficult for elderly people to walk. Please look into this matter urgently.;Infrastructure & Roads
To whom it may concern, the water pipeline burst 26 days ago and dirty muddy water is entering our homes. Please look into this matter urgently.;Water Quality & Sanitation
Sir ji, the primary health centre in Jamtara has no doctor available most days. Kindly take necessary action.;Public Health
Respected Sir/Madam, the anganwadi centre in Sahibganj has not distributed nutrition supplements in months. Hope for quick action from your side.;Public Health
We residents of Dumka street want to inform you that plastic waste is being burnt openly near Chandpur every evening. Hope for quick action from your side.;Waste Management
We residents of Giridih want to inform you that voltage fluctuation in Devgarh has damaged several household appliances recently. Please help us as soon as possible.;Energy & Sustainability
Sir, the brick kiln near our village releases smoke all day and our crops are getting affected. Hope for quick action from your side.;Air & Environmental Pollution
We the residents of Pakur colony want to inform you that the old age home in Netarhat does not have enough staff to take care of the residents. This needs to be fixed immediately.;Safety & Public Welfare
Dear Officer, there has been no clean drinking water supply in Bundu for the past 33 days. Kindly send someone to check as soon as possible.;Water Quality & Sanitation
To whom it may concern, during the rainy season the road near Silli gets completely waterlogged and unusable.;Infrastructure & Roads
Sir, the nearest hospital from Palamu is very far and there is no transport during emergencies. Hope for quick action from your side.;Public Health
Dear Officer, the loan waiver promised to farmers in Chatra has still not been processed. We have been complaining about this for a long time now.;Agriculture & Rural Development
I am a resident of Devgarh and there is no streetlight near the girls hostel in Jamtara and it feels unsafe to walk at night. Please look into this matter urgently.;Safety & Public Welfare
We residents of Bishnupur street want to inform you that the drainage near the market in Koderma is blocked with garbage and overflowing. Please look into this matter urgently.;Waste Management
Respected Authority, we have not received the promised fertilizer subsidy this year. Please help us as soon as possible.;Agriculture & Rural Development
Sir ji, many people in Godda have fallen sick with diarrhea after the recent floods. Kindly arrange for medicines and a health camp in our area.;Public Health
To whom it may concern, open drains near Lakhanpur are overflowing and spreading a foul smell all over the street. Please help us as soon as possible.;Water Quality & Sanitation
To whom it may concern, there is a strong chemical smell coming from the industrial area near Hazaribagh every night. Please ask the factory to install proper pollution control equipment.;Air & Environmental Pollution
I travel through Giridih daily and there are open manholes on the Tamar road which is very risky at night. Kindly install streetlights on this stretch as soon as possible.;Infrastructure & Roads
Every day while going to work through Latehar the road divider near Sahibganj market is broken and causing traffic problems every day. Kindly take necessary action.;Infrastructure & Roads
Every day while going to work through Bundu there are no proper road signs on the Deoghar bypass and accidents keep happening. Please help us as soon as possible.;Infrastructure & Roads
Every evening in Tamar the factory near Torpa releases thick black smoke every day and it is hard to breathe. Requesting you to resolve this soon.;Air & Environmental Pollution
Respected Sir/Madam, there has been no streetlight on the road near Giridih for over 14 months. Kindly install streetlights on this stretch as soon as possible.;Infrastructure & Roads
Sir, the railway crossing near Koderma has no gate and it is very dangerous for pedestrians. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
I am a student studying in Devgarh and our school does not have enough teachers for science and maths subjects. Kindly send someone to check as soon as possible.;Education
Sir, the drainage near the market in Bero is blocked with garbage and overflowing. Hope for quick action from your side.;Waste Management
Sir ji, burning of garbage in the open near our colony causes heavy smoke every evening. Kindly take necessary action.;Air & Environmental Pollution
Respected Sir/Madam, we have not received soil testing results even after applying 6 weeks ago. Kindly send someone to check as soon as possible.;Agriculture & Rural Development
We the farmers of Bero want to inform you that the seeds supplied by the agriculture department this season did not germinate properly. Please help us as soon as possible.;Agriculture & Rural Development
During the rainy season the road near Ranchi gets completely waterlogged and unusable. We have been complaining about this for a long time now.;Infrastructure & Roads
Dear Officer, there is a strong chemical smell coming from the industrial area near Chandpur every night. Requesting you to resolve this soon.;Air & Environmental Pollution
We the residents of Nagla Basti colony want to inform you that the railway crossing near Gumla has no gate and it is very dangerous for pedestrians. Please increase police patrolling in our area.;Safety & Public Welfare
As a parent of a student in Jamtara school, the computer lab in our school has been non functional for a long time. Hope for quick action from your side.;Education
Our school in Netarhat our school does not have a library and students have no access to reference books. This needs to be fixed immediately.;Education
Sir ji, factory waste is being dumped into the river near Manjhgaon which we use for drinking water. Kindly repair the pipeline before more people fall sick.;Water Quality & Sanitation
To whom it may concern, garbage has not been collected from our street in Palamu for over a week. Waiting for your response.;Waste Management
We residents of Bundu street want to inform you that waste from the nearby slaughterhouse is being dumped near Jamshedpur without any treatment. Waiting for your response.;Waste Management
Being a parent in Pakur, there is no police patrol at night in the Karra area and residents feel unsafe.;Safety & Public Welfare
Every evening in Bokaro the brick kiln near our village releases smoke all day and our crops are getting affected. Our children are developing breathing problems because of this smoke.;Air & Environmental Pollution
To whom it may concern, garbage has not been collected from our street in Jamshedpur for over a week. This needs to be fixed immediately.;Waste Management
Respected Authority, power supply in Deoghar keeps going off every time it rains. Kindly take necessary action.;Energy & Sustainability
We the farmers of Koderma want to inform you that the price we are getting for our produce at the mandi is much lower than the announced MSP. Waiting for your response.;Agriculture & Rural Development
Dear Officer, power supply in Sahibganj keeps going off every time it rains.;Energy & Sustainability
Sir ji, the transformer near Kishanpur keeps tripping and causing frequent power fluctuations. Waiting for your response.;Energy & Sustainability
Respected Sir/Madam, there is no streetlight near the girls hostel in Deoghar and it feels unsafe to walk at night. This needs to be fixed immediately.;Safety & Public Welfare
To whom it may concern, the health worker has not visited our village for vaccination in over 2 weeks. We are really worried about the health of our children.;Public Health
We the farmers of Latehar want to inform you that the crop insurance claim for last season has still not been paid to farmers in Bero. Please help us kisano ko, we are very troubled by this.;Agriculture & Rural Development
Hello, factory waste is being dumped into the river near Manjhgaon which we use for drinking water. Requesting you to resolve this soon.;Water Quality & Sanitation
I am a resident of Netarhat and sewage water is mixing with the drinking water pipeline in Tamar. We have been complaining about this for a long time now.;Water Quality & Sanitation
We residents of Torpa street want to inform you that waste from the nearby slaughterhouse is being dumped near Palamu without any treatment. Kindly clear the waste before it becomes a health hazard.;Waste Management
Sir ji, the boundary wall of the community park in Chatra is broken and children can wander onto the main road. Requesting you to resolve this soon.;Safety & Public Welfare
Respected Authority, during the rainy season the road near Khunti gets completely waterlogged and unusable. Kindly take necessary action.;Infrastructure & Roads
To whom it may concern, the factory near Deoghar releases thick black smoke every day and it is hard to breathe. Our children are developing breathing problems because of this smoke.;Air & Environmental Pollution
Dear Officer, solar street lights installed in Silli stopped working within a few months. This needs to be fixed immediately.;Energy & Sustainability
Being a parent in Chandpur, there is no streetlight near the girls hostel in Jamshedpur and it feels unsafe to walk at night. Hope for quick action from your side.;Safety & Public Welfare
To whom it may concern, the boundary wall of the community park in Godda is broken and children can wander onto the main road. Hope for quick action from your side.;Safety & Public Welfare
Hello, people are dumping waste in the open plot near Ranchi and it is attracting stray animals. Please look into this matter urgently.;Waste Management
Respected Authority, the nearest school for higher secondary is very far from Jamshedpur and many students drop out because of this.;Education
I stay near the industrial area of Khunti and the stone crushing unit near Bero covers our entire area in dust every afternoon. This needs to be fixed immediately.;Air & Environmental Pollution
Our school in Rampur there is only one teacher for the entire primary school in Hazaribagh. Kindly take necessary action.;Education
Hello, plastic waste is being burnt openly near Madhopur every evening. We have been complaining about this for a long time now.;Waste Management
Hello, vehicles passing through Rampur road release thick black smoke and no pollution check ever happens. Kindly send someone to check as soon as possible.;Air & Environmental Pollution
Every morning in Khunti the garbage collection point near Pathalgaon has not been cleared in weeks and smells very bad. We have been complaining about this for a long time now.;Waste Management
We the commuters of Palamu road want to inform you that the road divider near Netarhat market is broken and causing traffic problems every day. Please help us as soon as possible.;Infrastructure & Roads
Stagnant water has collected near the sanitation tank in Chandpur for weeks now. Kindly send someone to check as soon as possible.;Water Quality & Sanitation
Hello, our school does not have enough teachers for science and maths subjects. Kindly take necessary action.;Education
My child has been unwell and there is no ambulance service available in Chandpur during emergencies. Kindly take necessary action.;Public Health
As a resident of Rampur I want to inform you that the anganwadi centre in Latehar has not distributed nutrition supplements in months.;Public Health
My child has been unwell and the health worker has not visited our village for vaccination in over 11 weeks. Kindly take necessary action.;Public Health
Respected Authority, there is no police patrol at night in the Torpa area and residents feel unsafe. Please look into this matter urgently.;Safety & Public Welfare
Every morning in Devgarh waste from the nearby slaughterhouse is being dumped near Ramgarh without any treatment. Please help us as soon as possible.;Waste Management
Dear Officer, the irrigation canal near Deoghar has been dry for the entire season and our crops are dying. This needs to be fixed immediately.;Agriculture & Rural Development
Sir, the crop insurance claim for last season has still not been paid to farmers in Deoghar.;Agriculture & Rural Development
Hello, the bridge near Barhi is damaged and vehicles are struggling to cross it. Requesting you to resolve this soon.;Infrastructure & Roads
To whom it may concern, the boundary wall of the community park in Silli is broken and children can wander onto the main road. Waiting for your response.;Safety & Public Welfare
Hello, there has been no streetlight on the road near Deoghar for over 23 months. Kindly take necessary action.;Infrastructure & Roads
